Entity;Code;Year;Change in male height (%);Change in female height (%);Continent
Botswana;BWA;1996;3.274247957;3.427269489;
Botswana;BWA;2015;;;Africa
Bouvet Island;BVT;2015;;;Antarctica
Brazil;BRA;1996;6.333814394;7.122724804;
Brazil;BRA;2015;;;South America
British Indian Ocean Territory;IOT;2015;;;Asia
British Virgin Islands;VGB;2015;;;North America
Brunei;BRN;1996;5.918493461;5.653879315;
Brunei;BRN;2015;;;Asia
Bulgaria;BGR;1996;7.078215606;8.282707059;
Bulgaria;BGR;2015;;;Europe
Burkina Faso;BFA;1996;3.568803356;2.572257112;
Burkina Faso;BFA;2015;;;Africa
Burundi;BDI;1996;3.122928737;1.910890859;
Burundi;BDI;2015;;;Africa
Cambodia;KHM;1996;5.457737829;4.562939501;
Cambodia;KHM;2015;;;Asia
Cameroon;CMR;1996;2.639914389;3.262749685;
Cameroon;CMR;2015;;;Africa
Canada;CAN;1996;4.314917104;3.995715883;
Canada;CAN;2015;;;North America
Cape Verde;CPV;1996;5.073893553;4.532286161;
Cape Verde;CPV;2015;;;Africa
Cayman Islands;CYM;2015;;;North America
Central African Republic;CAF;1996;3.290652917;3.902760665;
Central African Republic;CAF;2015;;;Africa
Chad;TCD;1996;3.362093562;2.219285248;
Chad;TCD;2015;;;Africa
Channel Islands;OWID_CIS;2015;;;Europe
Chile;CHL;1996;6.91822896;7.974294816;
Chile;CHL;2015;;;South America
China;CHN;1996;6.743218138;6.362467246;
China;CHN;2015;;;Asia
Christmas Island;CXR;2015;;;Asia
Cocos Islands;CCK;2015;;;Asia
Colombia;COL;1996;7.752047543;8.907576099;
Colombia;COL;2015;;;South America
Comoros;COM;1996;4.051920522;3.35261606;
Comoros;COM;2015;;;Africa
Congo;COG;1996;3.43670787;3.317614906;
Congo;COG;2015;;;Africa
Cook Islands;COK;1996;3.136157694;4.507931426;
Cook Islands;COK;2015;;;Oceania
Costa Rica;CRI;1996;7.133529805;9.556757304;
Costa Rica;CRI;2015;;;North America
Cote d'Ivoire;CIV;1996;2.395401466;2.962633125;
Cote d'Ivoire;CIV;2015;;;Africa
Croatia;HRV;1996;7.526335438;10.36115342;
Croatia;HRV;2015;;;Europe
Cuba;CUB;1996;7.579500499;5.85350858;
Cuba;CUB;2015;;;North America
Curacao;CUW;2015;;;North America
Cyprus;CYP;1996;7.533781631;6.705748769;
Cyprus;CYP;2015;;;Europe
Czechia;CZE;1996;7.204648743;10.27970806;
Czechia;CZE;2015;;;Europe
Czechoslovakia;OWID_CZS;2015;;;Europe
Democratic Republic of Congo;COD;1996;3.064540393;2.813679818;
Democratic Republic of Congo;COD;2015;;;Africa
Denmark;DNK;1996;6.718703731;6.423147134;
Denmark;DNK;2015;;;Europe
Djibouti;DJI;1996;3.136774836;2.848396796;
Djibouti;DJI;2015;;;Africa
Dominica;DMA;1996;7.203924819;7.546373416;
Dominica;DMA;2015;;;North America
Dominican Republic;DOM;1996;7.789950061;6.783929852;
Dominican Republic;DOM;2015;;;North America
East Asia and Pacific;;1996;4.831937849;5.27625957;
East Germany;OWID_GDR;2015;;;Europe
Ecuador;ECU;1996;7.355929162;7.854587214;
Ecuador;ECU;2015;;;South America
Egypt;EGY;1996;5.073493665;5.790470318;
Egypt;EGY;2015;;;Africa
El Salvador;SLV;1996;7.128947513;9.446148295;
El Salvador;SLV;2015;;;North America
Equatorial Guinea;GNQ;1996;3.232618325;3.090202908;
Equatorial Guinea;GNQ;2015;;;Africa
Eritrea;ERI;1996;2.785247869;2.810937836;
Eritrea;ERI;2015;;;Africa
Eritrea and Ethiopia;OWID_ERE;2015;;;Africa
Estonia;EST;1996;6.272741395;7.796642889;
Estonia;EST;2015;;;Europe
Eswatini;SWZ;1996;3.009054;3.779495047;
Eswatini;SWZ;2015;;;Africa
Ethiopia;ETH;1996;3.071285626;2.325377479;
Ethiopia;ETH;2015;;;Africa
Europe and Central Asia;;1996;6.935174475;7.125418276;
Faeroe Islands;FRO;2015;;;Europe
Falkland Islands;FLK;2015;;;South America
Fiji;FJI;1996;3.143108634;5.355436213;
Fiji;FJI;2015;;;Oceania
Finland;FIN;1996;7.062209917;7.77573128;
Finland;FIN;2015;;;Europe
France;FRA;1996;8.007574189;6.141069222;
France;FRA;2015;;;Europe
French Guiana;GUF;2015;;;South America
French Polynesia;PYF;1996;4.336903424;5.257865026;
French Polynesia;PYF;2015;;;Oceania
French Southern Territories;ATF;2015;;;Antarctica
Gabon;GAB;1996;3.228129559;3.867590099;
Gabon;GAB;2015;;;Africa
Gambia;GMB;1996;2.917815794;3.47955329;
Gambia;GMB;2015;;;Africa
Georgia;GEO;1996;6.041491174;6.10092809;
Georgia;GEO;2015;;;Asia
Germany;DEU;1996;7.611707381;6.327401053;
Germany;DEU;2015;;;Europe
Ghana;GHA;1996;3.988373224;2.99962666;
Ghana;GHA;2015;;;Africa
Gibraltar;GIB;2015;;;Europe
Greece;GRC;1996;9.106003699;9.500144076;
Greece;GRC;2015;;;Europe
Greenland;GRL;1996;9.658410591;9.86662544;
Greenland;GRL;2015;;;North America
Grenada;GRD;1996;7.564128585;6.96479726;
Grenada;GRD;2015;;;North America
Guadeloupe;GLP;2015;;;North America
Guam;GUM;2015;;;Oceania
Guatemala;GTM;1996;6.189952027;6.485579631;
Guatemala;GTM;2015;;;North America
Guernsey;GGY;2015;;;Europe
Guinea;GIN;1996;2.564398863;2.719799209;
Guinea;GIN;2015;;;Africa
Guinea-Bissau;GNB;1996;3.101913492;3.608130786;
Guinea-Bissau;GNB;2015;;;Africa
Guyana;GUY;1996;6.442242883;6.230070523;
Guyana;GUY;2015;;;South America
Haiti;HTI;1996;6.768932019;5.999947342;
Haiti;HTI;2015;;;North America
Hanover;OWID_HAN;2015;;;Europe
Heard Island and McDonald Islands;HMD;2015;;;Antarctica
Hesse Electoral;OWID_HSE;2015;;;Europe
Hesse Grand Ducal;OWID_HSG;2015;;;Europe
Honduras;HND;1996;5.063973546;7.192958557;
Honduras;HND;2015;;;North America
Hong Kong;HKG;1996;8.702671719;8.900552211;
Hong Kong;HKG;2015;;;Asia
Hungary;HUN;1996;6.586304287;6.790334276;
Hungary;HUN;2015;;;Europe
Iceland;ISL;1996;5.83546924;4.664203475;
Iceland;ISL;2015;;;Europe
India;IND;1996;1.843145791;3.121907066;
India;IND;2015;;;Asia
Indonesia;IDN;1996;5.75893575;5.594718084;
Indonesia;IDN;2015;;;Asia
Iran;IRN;1996;10.51389269;7.490621144;
Iran;IRN;2015;;;Asia
Iraq;IRQ;1996;7.015829297;6.0058401;
Iraq;IRQ;2015;;;Asia
Ireland;IRL;1996;7.550032089;7.249982315;
Ireland;IRL;2015;;;Europe
Isle of Man;IMN;2015;;;Europe
Israel;ISR;1996;8.234727349;6.453312102;
Israel;ISR;2015;;;Asia
Italy;ITA;1996;7.927038915;7.23469171;
Italy;ITA;2015;;;Europe
Jamaica;JAM;1996;7.033841194;7.132832618;
Jamaica;JAM;2015;;;North America
Japan;JPN;1996;9.381432197;11.25927705;
Japan;JPN;2015;;;Asia
Jersey;JEY;2015;;;Europe
Jordan;JOR;1996;7.642032402;5.740975208;
Jordan;JOR;2015;;;Asia
Kazakhstan;KAZ;1996;6.147221469;5.587218177;
Kazakhstan;KAZ;2015;;;Asia
Kenya;KEN;1996;2.365446599;1.450205027;
Kenya;KEN;2015;;;Africa
Kiribati;KIR;1996;1.415526212;3.469402931;
Kiribati;KIR;2015;;;Oceania
Kosovo;OWID_KOS;2015;;;Europe
Kuwait;KWT;1996;7.203662849;6.102130557;
Kuwait;KWT;2015;;;Asia
Kyrgyzstan;KGZ;1996;6.857576162;6.10543801;
Kyrgyzstan;KGZ;2015;;;Asia
Laos;LAO;1996;4.99354944;4.547696887;
Laos;LAO;2015;;;Asia
Latin America and Caribbean;;1996;6.823894306;7.162863523;
Latvia;LVA;1996;7.109351282;9.186729939;
Latvia;LVA;2015;;;Europe
Lebanon;LBN;1996;8.508812893;8.567020465;
Lebanon;LBN;2015;;;Asia
Lesotho;LSO;1996;2.646940354;1.727843264;
Lesotho;LSO;2015;;;Africa
Liberia;LBR;1996;3.144350288;2.666643713;
Liberia;LBR;2015;;;Africa
Libya;LBY;1996;7.604828633;7.928004068;
Libya;LBY;2015;;;Africa
Liechtenstein;LIE;2015;;;Europe
Lithuania;LTU;1996;5.978523493;8.129757224;
Lithuania;LTU;2015;;;Europe
Luxembourg;LUX;1996;6.294523321;6.201107595;
Luxembourg;LUX;2015;;;Europe
Macao;MAC;2015;;;Asia
Madagascar;MDG;1996;1.805660011;1.004080692;
Madagascar;MDG;2015;;;Africa
Malawi;MWI;1996;1.897765474;1.977202136;
Malawi;MWI;2015;;;Africa
Malaysia;MYS;1996;6.545428218;5.932981761;
Malaysia;MYS;2015;;;Asia
Maldives;MDV;1996;7.604368172;7.736292184;
Maldives;MDV;2015;;;Asia
Mali;MLI;1996;3.653202308;2.818398673;
Mali;MLI;2015;;;Africa
Malta;MLT;1996;7.060985445;7.098698935;
Malta;MLT;2015;;;Europe
Marshall Islands;MHL;1996;0.317504743;1.743391788;
Marshall Islands;MHL;2015;;;Oceania
Martinique;MTQ;2015;;;North America
Mauritania;MRT;1996;1.091714019;1.782453594;
Mauritania;MRT;2015;;;Africa
Mauritius;MUS;1996;6.14208931;6.158139209;
Mauritius;MUS;2015;;;Africa
Mayotte;MYT;2015;;;Africa
Mecklenburg Schwerin;OWID_MEC;2015;;;Europe
Mexico;MEX;1996;7.823040258;9.319860719;
Mexico;MEX;2015;;;North America
Micronesia (country);FSM;1996;2.341145561;2.38798595;
Micronesia (country);FSM;2015;;;Oceania
Middle East and North Africa;;1996;6.872719341;5.96983242;
Modena;OWID_MOD;2015;;;Europe
Moldova;MDA;1996;6.594648956;7.216929251;
Moldova;MDA;2015;;;Europe
Monaco;MCO;2015;;;Europe
Mongolia;MNG;1996;6.26638035;6.980188776;
Mongolia;MNG;2015;;;Asia
Montenegro;MNE;1996;7.100693809;8.349372227;
Montenegro;MNE;2015;;;Europe
Montserrat;MSR;2015;;;North America
Morocco;MAR;1996;7.030127554;4.676029647;
Morocco;MAR;2015;;;Africa
Mozambique;MOZ;1996;3.566792632;2.050092906;
Mozambique;MOZ;2015;;;Africa
Myanmar;MMR;1996;4.67883691;6.025841867;
Myanmar;MMR;2015;;;Asia
Nagorno-Karabakh;OWID_NAG;2015;;;Asia
Namibia;NAM;1996;1.685868072;1.262161439;
Namibia;NAM;2015;;;Africa
Nauru;NRU;1996;1.835139581;1.445112012;
Nauru;NRU;2015;;;Oceania
Nepal;NPL;1996;3.025302493;4.66552299;
Nepal;NPL;2015;;;Asia
Netherlands;NLD;1996;7.733760103;8.974147293;
Netherlands;NLD;2015;;;Europe
Netherlands Antilles;ANT;2015;;;North America
New Caledonia;NCL;2015;;;Oceania
New Zealand;NZL;1996;6.121175886;5.759994705;
New Zealand;NZL;2015;;;Oceania
Nicaragua;NIC;1996;6.057192231;5.66909107;
Nicaragua;NIC;2015;;;North America
Niger;NER;1996;2.306424015;1.265426018;
Niger;NER;2015;;;Africa
Nigeria;NGA;1996;3.017823946;2.087358231;
Nigeria;NGA;2015;;;Africa
Niue;NIU;1996;4.29002336;8.373336828;
Niue;NIU;2015;;;Oceania
Norfolk Island;NFK;2015;;;Oceania
North America;;1996;4.836980029;4.605160804;
North Korea;PRK;1996;7.110137242;6.602189228;
North Korea;PRK;2015;;;Asia
North Macedonia;MKD;1996;7.099502656;6.823780237;
North Macedonia;MKD;2015;;;Europe
Northern Cyprus;OWID_CYN;2015;;;Asia
Northern Mariana Islands;MNP;2015;;;Oceania
Norway;NOR;1996;4.96672341;3.983514672;
Norway;NOR;2015;;;Europe
Oman;OMN;1996;8.60527803;7.072372403;
Oman;OMN;2015;;;Asia
Pakistan;PAK;1996;0.76796152;2.156347742;
Pakistan;PAK;2015;;;Asia
Palau;PLW;1996;2.162248723;2.7785271;
Palau;PLW;2015;;;Oceania
Palestine;PSE;1996;6.980821554;5.227980891;
Palestine;PSE;2015;;;Asia
Panama;PAN;1996;7.330728255;7.601976208;
Panama;PAN;2015;;;North America
Papua New Guinea;PNG;1996;2.686556549;3.305666301;
Papua New Guinea;PNG;2015;;;Oceania
Paraguay;PRY;1996;6.659870333;7.156774241;
Paraguay;PRY;2015;;;South America
Parma;OWID_PMA;2015;;;Europe
Peru;PER;1996;6.651447307;8.09343193;
Peru;PER;2015;;;South America
Philippines;PHL;1996;5.493983071;1.157663933;
Philippines;PHL;2015;;;Asia
Pitcairn;PCN;2015;;;Oceania
Poland;POL;1996;8.348108054;9.330691431;
Poland;POL;2015;;;Europe
Portugal;PRT;1996;8.791023739;8.363939853;
Portugal;PRT;2015;;;Europe
Puerto Rico;PRI;1996;7.220016581;8.080406754;
Puerto Rico;PRI;2015;;;North America
Qatar;QAT;1996;7.069369586;5.952713039;
Qatar;QAT;2015;;;Asia
Republic of Vietnam;OWID_RVN;2015;;;Asia
Reunion;REU;2015;;;Africa
Romania;ROU;1996;6.666792472;7.713835332;
Romania;ROU;2015;;;Europe
Russia;RUS;1996;5.684527431;7.607311863;
Russia;RUS;2015;;;Europe
Rwanda;RWA;1996;1.708918432;1.654493177;
Rwanda;RWA;2015;;;Africa
Saint Barthélemy;BLM;2015;;;North America
Saint Helena;SHN;2015;;;Africa
Saint Kitts and Nevis;KNA;1996;5.814966209;4.242566338;
Saint Kitts and Nevis;KNA;2015;;;North America
Saint Lucia;LCA;1996;6.134838345;5.632676228;
Saint Lucia;LCA;2015;;;North America
Saint Martin (French part);MAF;2015;;;North America
Saint Pierre and Miquelon;SPM;2015;;;North America
Saint Vincent and the Grenadines;VCT;1996;6.805518958;6.731117254;
Saint Vincent and the Grenadines;VCT;2015;;;North America
Samoa;WSM;1996;3.096132147;3.026913744;
Samoa;WSM;2015;;;Oceania
San Marino;SMR;2015;;;Europe
Sao Tome and Principe;STP;1996;3.202107943;3.937632187;
Sao Tome and Principe;STP;2015;;;Africa
Saudi Arabia;SAU;1996;6.032375062;4.53534699;
Saudi Arabia;SAU;2015;;;Asia
Saxony;OWID_SAX;2015;;;Europe
Senegal;SEN;1996;3.88126436;3.553273384;
Senegal;SEN;2015;;;Africa
Serbia;SRB;1996;7.837834285;10.32602104;
Serbia;SRB;2015;;;Europe
Serbia and Montenegro;OWID_SRM;2015;;;Europe
Serbia excluding Kosovo;OWID_SEK;2015;;;Europe
Seychelles;SYC;1996;5.281520834;4.261538864;
Seychelles;SYC;2015;;;Africa
Sierra Leone;SLE;1996;2.39656098;2.741308276;
Sierra Leone;SLE;2015;;;Africa
Singapore;SGP;1996;5.960740722;9.021127226;
Singapore;SGP;2015;;;Asia
Sint Maarten (Dutch part);SXM;2015;;;North America
Slovakia;SVK;1996;6.630544183;7.639867087;
Slovakia;SVK;2015;;;Europe
Slovenia;SVN;1996;7.423090693;8.880318612;
Slovenia;SVN;2015;;;Europe
Solomon Islands;SLB;1996;2.048782662;4.022428667;
Solomon Islands;SLB;2015;;;Oceania
Somalia;SOM;1996;3.192352354;2.828226568;
Somalia;SOM;2015;;;Africa
Somaliland;OWID_SML;2015;;;Africa
South Africa;ZAF;1996;0.858002116;2.012144241;
South Africa;ZAF;2015;;;Africa
South Asia;;1996;3.36179606;4.863431675;
South Georgia and the South Sandwich Islands;SGS;2015;;;South America
South Korea;KOR;1996;9.494622809;14.1804132;
South Korea;KOR;2015;;;Asia
South Ossetia;OWID_SOS;2015;;;Asia
South Sudan;SSD;2015;;;Africa
Spain;ESP;1996;8.813595999;8.132455353;
Spain;ESP;2015;;;Europe
Sri Lanka;LKA;1996;5.58587997;6.403126256;
Sri Lanka;LKA;2015;;;Asia
Sub-Saharan Africa;;1996;3.004601531;2.794756862;
Sudan;SDN;1996;3.174162424;2.817611896;
Sudan;SDN;2015;;;Africa
Suriname;SUR;1996;6.805907613;6.759246483;
Suriname;SUR;2015;;;South America
Svalbard and Jan Mayen;SJM;2015;;;Europe
Sweden;SWE;1996;4.561289466;3.374493081;
Sweden;SWE;2015;;;Europe
Switzerland;CHE;1996;6.501636615;3.756724256;
Switzerland;CHE;2015;;;Europe
Syria;SYR;1996;7.028102802;6.040428274;
Syria;SYR;2015;;;Asia
Taiwan;TWN;1996;8.187322288;8.081787545;
Taiwan;TWN;2015;;;Asia
Tajikistan;TJK;1996;6.116190783;4.268793587;
Tajikistan;TJK;2015;;;Asia
Tanzania;TZA;1996;2.496304703;3.236495182;
Tanzania;TZA;2015;;;Africa
Thailand;THA;1996;6.756448167;6.533723925;
Thailand;THA;2015;;;Asia
Timor;TLS;1996;4.417030428;4.353686824;
Timor;TLS;2015;;;Asia
Togo;TGO;1996;3.405548632;3.456287498;
Togo;TGO;2015;;;Africa
Tokelau;TKL;1996;4.228481936;4.598023253;
Tokelau;TKL;2015;;;Oceania
Tonga;TON;1996;3.723897275;5.044778543;
Tonga;TON;2015;;;Oceania
Transnistria;OWID_TRS;2015;;;Europe
Trinidad and Tobago;TTO;1996;6.000631169;4.166303736;
Trinidad and Tobago;TTO;2015;;;North America
Tunisia;TUN;1996;6.022237594;6.292258484;
Tunisia;TUN;2015;;;Africa
Turkey;TUR;1996;8.66224751;7.29754128;
Turkey;TUR;2015;;;Asia
Turkmenistan;TKM;1996;6.351358131;5.804993291;
Turkmenistan;TKM;2015;;;Asia
Turks and Caicos Islands;TCA;2015;;;North America
Tuscany;OWID_TUS;2015;;;Europe
Tuvalu;TUV;1996;2.590982493;0.969821293;
Tuvalu;TUV;2015;;;Oceania
Two Sicilies;OWID_SIC;2015;;;Europe
USSR;OWID_USS;2015;;;Europe
Uganda;UGA;1996;2.125236507;2.033613557;
Uganda;UGA;2015;;;Africa
Ukraine;UKR;1996;6.413829643;8.045582405;
Ukraine;UKR;2015;;;Europe
United Arab Emirates;ARE;1996;6.99985363;6.064934911;
United Arab Emirates;ARE;2015;;;Asia
United Kingdom;GBR;1996;6.362891563;7.184357256;
United Kingdom;GBR;2015;;;Europe
United Korea;OWID_KRU;2015;;;Asia
United States;USA;1996;3.537029078;3.168923779;
United States;USA;2015;;;North America
United States Minor Outlying Islands;UMI;2015;;;Oceania
United States Virgin Islands;VIR;2015;;;North America
Uruguay;URY;1996;5.874468619;8.3689401;
Uruguay;URY;2015;;;South America
Uzbekistan;UZB;1996;5.15193499;4.600157312;
Uzbekistan;UZB;2015;;;Asia
Vanuatu;VUT;1996;2.754328143;3.572208261;
Vanuatu;VUT;2015;;;Oceania
Vatican;VAT;2015;;;Europe
Venezuela;VEN;1996;7.27198928;8.774535275;
Venezuela;VEN;2015;;;South America
Vietnam;VNM;1996;5.890434206;6.087037168;
Vietnam;VNM;2015;;;Asia
Wallis and Futuna;WLF;2015;;;Oceania
West Germany;OWID_GFR;2015;;;Europe
Western Sahara;ESH;2015;;;Africa
World;OWID_WRL;1996;5.41468396;5.520701848;
Wuerttemburg;OWID_WRT;2015;;;Europe
Yemen;YEM;1996;3.483763908;6.112124518;
Yemen;YEM;2015;;;Asia
Yemen Arab Republic;OWID_YAR;2015;;;Asia
Yemen People's Republic;OWID_YPR;2015;;;Asia
Yugoslavia;OWID_YGS;2015;;;Europe
Zambia;ZMB;1996;2.656600312;2.830094051;
Zambia;ZMB;2015;;;Africa
Zanzibar;OWID_ZAN;2015;;;Africa
Zimbabwe;ZWE;1996;2.311613368;1.876128722;
Zimbabwe;ZWE;2015;;;Africa
Åland Islands;ALA;2015;;;Europe
