Code;Country;Continent
SGP;Singapore;Asia
SVK;Slovakia;Europe
SVN;Slovenia;Europe
SLB;Solomon Islands;Oceania
SOM;Somalia;Africa
ZAF;South Africa;Africa
;South Asia;South America
KOR;South Korea;Asia
ESP;Spain;Europe
LKA;Sri Lanka;Asia
;Sub-Saharan Africa;
SDN;Sudan;Africa
SUR;Suriname;South America
SWE;Sweden;Europe
CHE;Switzerland;Europe
SYR;Syria;Asia
TWN;Taiwan;Asia
TJK;Tajikistan;Asia
TZA;Tanzania;Africa
THA;Thailand;Asia
TLS;Timor;Asia
TGO;Togo;Africa
TKL;Tokelau;Oceania
TON;Tonga;Oceania
TTO;Trinidad and Tobago;North America
TUN;Tunisia;Africa
TUR;Turkey;Asia
TKM;Turkmenistan;Asia
TUV;Tuvalu;Oceania
UGA;Uganda;Africa
UKR;Ukraine;Europe
ARE;United Arab Emirates;Asia
GBR;United Kingdom;Europe
USA;United States;North America
URY;Uruguay;South America
UZB;Uzbekistan;Asia
VUT;Vanuatu;Oceania
VEN;Venezuela;South America
VNM;Vietnam;Asia
OWID_WRL;World;
YEM;Yemen;Asia
ZMB;Zambia;Africa
ZWE;Zimbabwe;Africa
